,candle_begin_time,open,high,low,close,volume,volume_value,pos,start_time,equity_change,equity_curve
121,2005-07-08,746.29,746.29,722.28,722.85,5099621,2074276437,-1.0,2005-07-01,0.02959093010734626,1.0959217962811898
122,2005-07-11,725.63,742.95,712.97,714.47,5045519,2115139680,-1.0,2005-07-01,0.009802407893599208,1.106664468747824
123,2005-07-12,712.31,740.59,708.99,739.53,6903272,2925420187,-1.0,2005-07-01,-0.02902908963048989,1.0745390066936649
124,2005-07-13,738.61,738.74,729.59,732.44,5718451,2534914868,-1.0,2005-07-01,0.008458480762356446,1.0836279742101849
125,2005-07-14,732.0,740.05,729.27,732.54,5236367,2238519576,-1.0,2005-07-01,-0.00011830091620956829,1.0834997800280055
126,2005-07-15,732.67,736.41,712.44,714.49,5942104,2376343496,-1.0,2005-07-01,0.0213558417914812,1.1066388299113883
127,2005-07-18,712.32,712.32,694.85,696.85,4817897,1869008405,-1.0,2005-07-01,0.02043435773734581,1.1292522836478354
128,2005-07-19,695.77,705.08,692.7,703.07,4185245,1665130039,-1.0,2005-07-01,-0.007061024579734898,1.1212786055162762
129,2005-07-20,703.17,711.01,699.19,707.29,4243009,1771294806,-1.0,2005-07-01,-0.004824665753325408,1.1158688110283055
130,2005-07-21,707.05,707.94,695.38,704.79,4745981,1948020673,-1.0,2005-07-01,0.002872071091880146,1.1190736655827906
131,2005-07-22,704.61,728.52,704.23,721.45,9508556,3877378333,-1.0,2005-07-01,-0.019084669229497697,1.0977165148317016
132,2005-07-25,720.61,720.99,714.68,718.87,5771020,2427919376,-1.0,2005-07-01,0.0030129909275673494,1.1010239247319304
133,2005-07-26,718.62,736.72,718.6,735.86,9191362,3765644687,-1.0,2005-07-01,-0.0211825993940552,1.0777013760110636
134,2005-07-27,736.29,750.09,731.08,750.02,9472478,3880395437,0.0,,0.0,1.0777013760110636
135,2005-07-28,750.4,755.94,744.02,747.23,10747152,4372350126,1.0,2005-07-28,-0.00527358259964783,1.0720180287869152
136,2005-07-29,746.59,748.38,739.4,744.82,7056953,2815158251,1.0,2005-07-28,-0.003228107692557325,1.068557439141628
137,2005-08-01,744.77,751.05,742.9,750.49,6317943,2559324066,1.0,2005-07-28,0.007619355692757068,1.0766991583485896
138,2005-08-02,750.96,763.29,746.82,763.29,8902167,3550207898,1.0,2005-07-28,0.017070594946571704,1.0950790535600732
139,2005-08-03,764.94,781.03,763.86,769.75,14083550,5550136894,1.0,2005-07-28,0.008470715729964162,1.1043551569246188
140,2005-08-04,767.57,769.34,761.36,765.26,8661785,3626523924,1.0,2005-07-28,-0.0058380880251490685,1.0979078343074655
141,2005-08-05,765.39,787.93,765.39,787.82,12490263,5533624993,1.0,2005-07-28,0.029505723793904037,1.130302399617705
142,2005-08-08,792.4,805.6,790.18,800.12,15361394,7002623029,1.0,2005-07-28,0.015625845402751137,1.14796433017249
